"Anio","Mes","GLP","GasAviacion","GasSuperior","GasRegular","Kerosina","rTurboJet","Diesel","DieselLS","DieselULS","Bunker","Asfalto","PetCoke","AceitesLub","GrasasLub","Solventes","Naftas","Ceras","Butano","PetroleoReconst","MTBE","Orimulsion","MezclasOleosas","Total"
2001,1,194065.74,820,373963.96,177776.5,33834.03,NA,566101.99,NA,NA,214581.84,27748.99,NA,NA,NA,NA,NA,NA,NA,715344,8402,NA,NA,2312639.05
2001,2,170703.38,3054,243091.07,123115.99,67439.95,NA,489525.8,NA,NA,294609,7503.57,NA,NA,NA,NA,NA,NA,NA,370166,0,NA,NA,1769208.76
2001,3,161837.37,677,312084.38,161726.42,31787.29,NA,575559.68,NA,NA,315263.8,26304.32,NA,NA,NA,NA,NA,NA,NA,360530,0,NA,NA,1945770.26
2001,4,163048.64,3399,285054.89,127338.74,25801.18,NA,437745.42,NA,NA,205653,7885.89,NA,NA,NA,NA,NA,NA,NA,359527,8184,NA,NA,1623637.76
2001,5,171518.86,585,300913.67,168730.19,45529.33,NA,552609.13,NA,NA,278371.3,8443.16,NA,NA,NA,NA,NA,NA,NA,723346,12680,NA,NA,2262726.64
2001,6,190004.42,492,333217.19,152899.09,64444.95,NA,497855.26,NA,NA,218765.6,6229.04,NA,NA,NA,NA,NA,NA,NA,360369,0,NA,NA,1824276.55
2001,7,206022.83,655,195071.86,136299.13,23654.1,NA,302350.02,NA,NA,156109,3103.99,NA,NA,NA,NA,NA,NA,NA,360570,10642,NA,NA,1394477.93
2001,8,100561.47,607,268153.26,139365.07,49890.61,NA,464159.13,NA,NA,189692.6,27821.06,NA,NA,NA,NA,NA,NA,NA,719303,13357,NA,NA,1972910.2
2001,9,186839.02,3868,308439.07,233643.75,41519.91,NA,321952.94,NA,NA,385142.3,2324.85,NA,NA,NA,NA,NA,NA,NA,360635,0,NA,NA,1844364.84
2001,10,163864.2,650,305102.28,141550.22,32657.33,NA,438989.55,NA,NA,214138,1484.4,NA,NA,NA,NA,NA,NA,NA,717717,19431,NA,NA,2035583.98
2001,11,194722.5,2988,256638.19,165841.46,23876.81,NA,440245.35,NA,NA,142282.26,895.44,NA,NA,NA,NA,NA,NA,NA,356364,0,NA,NA,1583854.01
2001,12,194329.02,350,277145.05,149217.67,22948.95,NA,479983.27,NA,NA,307427.2,321.3,NA,NA,NA,NA,NA,NA,NA,366828,14822,NA,NA,1813372.46
2002,1,168422.62,0,271479,178585.93,25109.5,NA,500041.32,NA,NA,332302.3,1978.12,NA,NA,NA,NA,NA,NA,NA,724812,11481,NA,NA,2214211.79
2002,2,200141.36,3499,365657.75,144447.25,41050.42,NA,686923.83,NA,NA,285980,114,NA,NA,NA,NA,NA,NA,NA,368318,NA,NA,NA,2096131.61
2002,3,193422.6,485,246292.6,104673.64,19066.89,NA,432538.46,NA,NA,175483.3,2147.65,NA,NA,NA,NA,NA,NA,NA,730957,12350,NA,NA,1917417.14
2002,4,218257.51,441,310256.3,190339,33748.8,NA,424667.36,NA,NA,358010.7,25060,NA,NA,NA,NA,NA,NA,NA,365663,NA,NA,NA,1926443.67
2002,5,159299.42,534,363311.76,194830.1,33775.3,NA,497781.66,NA,NA,307343.57,1170.05,NA,NA,NA,NA,NA,NA,NA,369420,13280,NA,NA,1940745.86
2002,6,210874.61,3138,250123.19,137050.8,6005.88,NA,496826.62,NA,NA,412133.78,3120.87,NA,NA,NA,NA,NA,NA,NA,726775,17839,NA,NA,2263887.75
2002,7,199708.55,488,428842.8,222408,18227.39,NA,636727.84,NA,NA,242340.18,584.36,NA,NA,NA,NA,NA,NA,NA,365679,NA,NA,NA,2115006.12
2002,8,192213.74,3477,298280.33,143795,24692.87,NA,346225,NA,NA,346153.7,1268.58,NA,NA,NA,NA,NA,NA,NA,364878,NA,NA,NA,1720984.22
2002,9,190686.73,466,331053.7,156956.9,37242.2,NA,638933.22,NA,NA,300348.73,5463.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1661151.31
2002,10,210871.19,2400,352055.5,195426.8,63543.82,NA,703749.81,NA,NA,343702,2158.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873908.09
2002,11,227595.86,582,291188.76,153185.7,33324.44,NA,573289.5,NA,NA,508787,1707.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789660.83
2002,12,192272.02,3379,440677.81,167596.71,47548.06,NA,678749.64,NA,NA,561334.63,1462.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2093020.71
2003,1,237532.26,720,425185.5,228269.5,48243.38,NA,797344.38,NA,NA,433367.1,2225.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2172887.58
2003,2,169819,254,443849.85,214490.7,74118.22,NA,765912.66,NA,NA,333362.76,2497.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004305.05
2003,3,221030.86,1203,363352.66,161257.48,20757.68,NA,693942.31,NA,NA,555012.3,5342.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021898.55
2003,4,192170.14,3520,335444.69,189824.89,71377.38,NA,873103.1,NA,NA,470787.51,5453.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141681.44
2003,5,185016.67,0,459025.69,269981.86,43468.04,NA,625190.08,NA,NA,512728.76,10331.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2105743.01
2003,6,231805.03,3137,372486.53,182254.23,75168.64,NA,671882.83,NA,NA,334426.35,3188.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874349.16
2003,7,216504.93,906,400922.97,133668.2,29429.84,NA,822014.55,NA,NA,475755.86,5942.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085145.14
2003,8,209952.38,48,292365.04,169903.86,55600.7,NA,494087.13,NA,NA,518231.66,7034.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747223.28
2003,9,231499.19,0,398192.16,177217.53,66626.7,NA,614913.68,NA,NA,360969.08,5189.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1854607.76
2003,10,216302.81,2719,260219.92,181668.03,61154.5,NA,433084.99,NA,NA,536918.24,7645.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1699713.25
2003,11,232526.98,0,393951.96,205624.08,50841.7,NA,627189.78,NA,NA,717557.85,6163.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2233856.06
2003,12,214489.86,2649,296780.15,161477.73,67894.9,NA,745524.88,NA,NA,286775.5,8962.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1784554.15
2004,1,251271.55,0,368235.14,173427.23,59343.1,NA,762385.45,NA,NA,475730.96,8309.85,155510.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254213.3
2004,2,197730.29,0,281891.97,147939.23,49226.2,NA,460947.5,NA,NA,348162.02,10379.19,0,NA,NA,NA,NA,NA,NA,NA,NA,249982.7,NA,1746259.1
2004,3,253366.12,2300,486880.82,275539.38,47021.8,NA,772128.26,NA,NA,474292.6,12318.35,144859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2468706.33
2004,4,206671.88,2920,415426,245156.34,58717.9,NA,809194.95,NA,NA,415311.51,14014.84,0,NA,NA,NA,NA,NA,NA,NA,NA,311711.21,NA,2479124.63
2004,5,202368.21,0,350052.95,178387.8,71209.2,NA,634209.64,NA,NA,238958.31,13384.38,137087.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1825657.99
2004,6,231850.33,0,311238.01,133341,90154.8,NA,461381.79,NA,NA,533789.63,15485.81,0,NA,NA,NA,NA,NA,NA,NA,NA,311270.32,NA,2088511.69
2004,7,220449.26,257,249710.69,152075.75,13662,NA,467154.31,NA,NA,108059,14504.73,155914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381786.74
2004,8,215881.07,3375,434578.12,208592.85,79589.7,NA,669462.53,NA,NA,315109,13756.04,0,NA,NA,NA,NA,NA,NA,NA,NA,315915.92,NA,2256260.23
2004,9,252058.26,0,420550.29,218499.24,69168.5,NA,714039.85,NA,NA,434142.76,14546.91,146223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269228.81
